src_ip,dst_ip,Source Port,Destination Port,Protocol,Flow Duration,Total Packets,Total Length of Packets,Packet Length Max,Packet Length Min,Packet Length Mean,Packet Length Std,Label
10.0.0.72,172.16.0.1,50669,6001,6,0.033,3,162,54,54,54,0,RST-ACK Flood
10.0.0.88,172.16.0.1,44970,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.14,172.16.0.1,48280,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.12,172.16.0.1,26132,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.89,172.16.0.2,58816,443,6,21.249,2,120,66,54,60,8.485281374,SYN Flood
10.0.0.16,172.16.0.1,36966,6001,6,0.056,3,162,54,54,54,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53339,6001,6,0.239,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.47,172.16.0.1,48310,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.90,172.16.0.1,46125,6001,6,0.02,3,162,54,54,54,0,RST-ACK Flood
10.0.0.57,172.16.0.1,44620,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
